,GENIA_1,GENIA_2,P_pergaminensis,A_salinitolerans,B_pseudomycoides,Pa_polymyxa
GENIA_1,1.0,-0.01365362153278244,-0.08279413765701875,-0.14461326126700277,-0.08017576970562264,0.3742536717746975
GENIA_2,-0.01365362153278244,1.0,0.3958334654119982,0.5788565713393352,0.276069529784155,0.38561245229333546
P_pergaminensis,-0.08279413765701875,0.3958334654119982,1.0,0.7766052019473962,-0.11174712730488008,-0.36241063690854974
A_salinitolerans,-0.14461326126700277,0.5788565713393352,0.7766052019473962,1.0,0.03839041731745551,-0.14368260661039217
B_pseudomycoides,-0.08017576970562264,0.276069529784155,-0.11174712730488008,0.03839041731745551,1.0,0.05709289558027041
Pa_polymyxa,0.3742536717746975,0.38561245229333546,-0.36241063690854974,-0.14368260661039217,0.05709289558027041,1.0
